ORDER	Type	Item	file	Script
38	Supplemental Figure	S7	TCR_delta_clonality_response.pdf	60_TCR_analysis.Rmd
39	Supplemental Figure	S8	GEP_Heatmap_Biopsy_Screen_CD3sig_Score.pdf	70_Baseline_Tcell_analysis.Rmd
40	Supplemental Figure	S9a	pathwaze_CD3TCRsig_baseline_C2_plot.png	75_GeneSetEnrichment_CD3TCRsig_Baseline_Day28.Rmd
41	Supplemental Figure	S9b	pathwaze_CD3TCRsig_baseline_Hallmark_plot.png	75_GeneSetEnrichment_CD3TCRsig_Baseline_Day28.Rmd
42	Supplemental Figure	S10a	pathwaze_CD3TCRsigHi_Day28_Hallmark_plot.png	75_GeneSetEnrichment_CD3TCRsig_Baseline_Day28.Rmd
43	Supplemental Figure	S10b	GEP_Heatmap_Biopsy_Week4_CD3sigHigh_IFNA.pdf	80_Week4_Tcellhigh_NonResponder_analysis.Rmd
44	Supplemental Figure	S10c	GEP_Heatmap_Biopsy_Week4_CD3sigHigh_IFNG.pdf	80_Week4_Tcellhigh_NonResponder_analysis.Rmd
45	Supplemental Figure	S11	GEP_Boxplot_Signatures_Baseline_Angio_ccrcc.png	95_Baseline_Genesets_ccrcc_Analyses.Rmd
46	Supplemental Figure	S12	GEP_Signature_Baseline_ROC_Facet_Pub.png	95_Baseline_Genesets_ccrcc_Analyses.Rmd
47	Supplemental Figure	S12	GEP_Table_BiopsyScreen_GEPSignatures_AUC_Odds.txt	95_Baseline_Genesets_ccrcc_Analyses.Rmd
48	Supplemental Figure	S13a	"CM9 48 patients: OR Percentage, By PBRM1"	95_Baseline_Genesets_ccrcc_Analyses.Rmd
49	Supplemental Figure	S13b	GEP_barchart_PBRM1_ccrccCluster.png	95_Baseline_Genesets_ccrcc_Analyses.Rmd
50	Supplemental Figure	S14a	GEP_Heatmap_EMTAB3267_BMS311.pdf	96_Response_Analysis_Baseline_vs_ccrcc.Rmd
51	Supplemental Figure	S14b	GEP_Boxplot_Signatures_Baseline_BMS_ccrcc.png	95_Baseline_Genesets_ccrcc_Analyses.Rmd
52	Supplemental Table	S1	U219_BrainArray_2151probesets_used.txt	10_Probeset_GeneSet_Annotation.Rmd
53	Supplemental Table	S2	CM9_Patient_Annotation.txt	P01361_CA209009_Patient_and_sample_annotation
54	Supplemental Table	S3	GEP_Table_BiopsyScreen_ResponseEffect_311prbs.txt	30_Response_Analysis_Baseline.Rmd
55	Supplemental Table	S4	Ascierto  Topalian list vs CM9	Ascierto Topalian list vs CM9.xlsx
56	Supplemental Table	S5	GEP_Table_BiopsyWeek4_ResponseEffect_779prbs.txt	40_Response_Analysis_Week4.Rmd
57	Supplemental Table	S6	GEP_Table_BiopsyAll_TimeResponseEffect_189prbs.txt	50_Response_x_Time_Analysis.Rmd
58	Supplemental Table	S7	GEP_Table_BiopsyScreen_CD3sigEffect_1336prbs.txt	70_Baseline_Tcell_analysis.Rmd
59	Supplemental Table	S8	GEP_Table_BiopsyScreen_CD3sigEffect_IRISsummary.txt	70_Baseline_Tcell_analysis.Rmd
60	Supplemental Table	S9	GEP_Table_BiopsyScreen_CD3sigEffect_NegativeImmune_281prbs.txt	70_Baseline_Tcell_analysis.Rmd
61	Supplemental Table	S10	GEP_Table_BiopsyWeek4_27samples_CD3sigHigh_18571prbs.txt	70_Baseline_Tcell_analysis.Rmd
62	Supplemental Table	S11	GEP_Table_BiopsyWeek4_27samples_CD3sigHigh_P01_210prbs.txt	80_Week4_Tcellhigh_NonResponder_analysis.Rmd
63	Supplemental Table	S12	derived from pathwaze_CD3TCRsigHi_Day28_Hallmark_table_detail.csv	75_GeneSetEnrichment_CD3TCRsig_Baseline_Day28.Rmd
64	Supplemental Table	S13	GEP_Table_BiopsyScreen_OddsRatio_Results.txt	95_Baseline_Genesets_ccrcc_Analyses.Rmd
