Probeset	ENTREZ	LocusLink	Symbol	IRIS_Most_Specific	Geneset_CD3TCR	Geneset_ELVIDGE_HIF1A_TARGETS_DN	Geneset_ccRCC	Geneset_Fuhrman	Geneset_Ascierto	Geneset_IMmotion150	Geneset_Merck18	Geneset_RIG1	Geneset_CM009	Geneset_Adenosine	Geneset_EMTstroma	Geneset_Javelin	Geneset_HALLMARK
26240_at	26240	LOC26240	FAM50B	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
89885_at	89885	LOC89885	FATE1	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
2329_at	2329	LOC2329	FMO4	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
1647_at	1647	LOC1647	GADD45A	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
9527_at	9527	LOC9527	GOSR1	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
54103_at	54103	LOC54103	GSAP	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
3032_at	3032	LOC3032	HADHB	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
3212_at	3212	LOC3212	HOXB2	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
81533_at	81533	LOC81533	ITFG1	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
9445_at	9445	LOC9445	ITM2B	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
3716_at	3716	LOC3716	JAK1	Multiple	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
339123_at	339123	LOC339123	JMJD8	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
3773_at	3773	LOC3773	KCNJ16	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
8462_at	8462	LOC8462	KLF11	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
23588_at	23588	LOC23588	KLHDC2	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
10542_at	10542	LOC10542	LAMTOR5	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
55788_at	55788	LOC55788	LMBRD1	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
10162_at	10162	LOC10162	LPCAT3	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
116068_at	116068	LOC116068	LYSMD3	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
4118_at	4118	LOC4118	MAL	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
9053_at	9053	LOC9053	MAP7	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
10150_at	10150	LOC10150	MBNL2	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
64087_at	64087	LOC64087	MCCC2	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
25840_at	25840	LOC25840	METTL7A	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
4258_at	4258	LOC4258	MGST2	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
25874_at	25874	LOC25874	MPC2	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
29074_at	29074	LOC29074	MRPL18	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
63908_at	63908	LOC63908	NAPB	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
27020_at	27020	LOC27020	NPTN	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
1728_at	1728	LOC1728	NQO1	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
221294_at	221294	LOC221294	NT5DC1	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
5007_at	5007	LOC5007	OSBP	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
11252_at	11252	LOC11252	PACSIN2	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
23042_at	NA	NA	PDXDC1 || ?	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
55825_at	55825	LOC55825	PECR	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
5627_at	5627	LOC5627	PROS1	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
158471_at	158471	LOC158471	PRUNE2	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
22949_at	22949	LOC22949	PTGR1	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
9609_at	9609	LOC9609	RAB36	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
64080_at	64080	LOC64080	RBKS	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
54502_at	54502	LOC54502	RBM47	Monocyte	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
473_at	473	LOC473	RERE	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
55328_at	55328	LOC55328	RNLS	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
283345_at	283345	LOC283345	RPL13P5	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
51128_at	51128	LOC51128	SAR1B	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
8436_at	8436	LOC8436	SDPR	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
5274_at	5274	LOC5274	SERPINI1	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
27244_at	27244	LOC27244	SESN1	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
133383_at	133383	LOC133383	SETD9	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
6470_at	6470	LOC6470	SHMT1	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
6584_at	6584	LOC6584	SLC22A5	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
9963_at	9963	LOC9963	SLC23A1	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
56606_at	56606	LOC56606	SLC2A9	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
80255_at	80255	LOC80255	SLC35F5	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
2542_at	2542	LOC2542	SLC37A4	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
28232_at	28232	LOC28232	SLCO3A1	Multiple	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
80176_at	80176	LOC80176	SPSB1	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
6821_at	6821	LOC6821	SUOX	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
6856_at	6856	LOC6856	SYPL1	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
26608_at	26608	LOC26608	TBL2	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
54664_at	54664	LOC54664	TMEM106B	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
135932_at	135932	LOC135932	TMEM139	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
51522_at	51522	LOC51522	TMEM14C	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
55504_at	55504	LOC55504	TNFRSF19	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
7265_at	7265	LOC7265	TTC1	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
7322_at	7322	LOC7322	UBE2D2	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
27089_at	27089	LOC27089	UQCRQ	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
29_at	29	LOC29	ABR	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
197322_at	197322	LOC197322	ACSF3	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
338692_at	338692	LOC338692	ANKRD13D	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
84502_at	NA	NA	AP1G2 || JPH4	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
41_at	41	LOC41	ASIC1	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
79915_at	79915	LOC79915	ATAD5	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
60468_at	60468	LOC60468	BACH2	Lymphoid	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
649_at	649	LOC649	BMP1	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
54785_at	54785	LOC54785	C17ORF59	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
26005_at	26005	LOC26005	C2CD3	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
402573_at	402573	LOC402573	C7ORF61	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
782_at	782	LOC782	CACNB1	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
50632_at	50632	LOC50632	CALY	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
817_at	817	LOC817	CAMK2D	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
23125_at	23125	LOC23125	CAMTA2	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
65981_at	65981	LOC65981	CAPRIN2	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
25790_at	25790	LOC25790	CCDC19	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
152137_at	152137	LOC152137	CCDC50	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
79741_at	79741	LOC79741	CCDC7	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
146059_at	146059	LOC146059	CDAN1	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
53405_at	53405	LOC53405	CLIC5	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
254263_at	254263	LOC254263	CNIH2	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
57585_at	57585	LOC57585	CRAMP1L	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
9586_at	9586	LOC9586	CREB5	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
1446_at	1446	LOC1446	CSN1S1	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
9150_at	9150	LOC9150	CTDP1	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
90379_at	90379	LOC90379	DCAF15	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
84516_at	84516	LOC84516	DCTN5	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
27185_at	27185	LOC27185	DISC1	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
1788_at	1788	LOC1788	DNMT3A	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
8193_at	8193	LOC8193	DPF1	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
196403_at	196403	LOC196403	DTX3	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
1854_at	1854	LOC1854	DUT	Lymphoid	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
79733_at	79733	LOC79733	E2F8	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
23085_at	23085	LOC23085	ERC1	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
8822_at	8822	LOC8822	FGF17	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
9758_at	9758	LOC9758	FRMPD4	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
24140_at	24140	LOC24140	FTSJ1	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
51343_at	51343	LOC51343	FZR1	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
8522_at	8522	LOC8522	GAS7	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
2674_at	2674	LOC2674	GFRA1	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
221914_at	221914	LOC221914	GPC2	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
3556_at	3556	LOC3556	IL1RAP	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
27130_at	27130	LOC27130	INVS	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
9196_at	9196	LOC9196	KCNAB3	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
23135_at	23135	LOC23135	KDM6B	Myeloid	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
23313_at	23313	LOC23313	KIAA0930	Myeloid	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
339451_at	339451	LOC339451	KLHL17	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
65095_at	65095	LOC65095	KRI1	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
80774_at	80774	LOC80774	LIMD2	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
4010_at	4010	LOC4010	LMX1B	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
4046_at	4046	LOC4046	LSP1	Multiple	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
4052_at	4052	LOC4052	LTBP1	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
378938_at	378938	LOC378938	MALAT1	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
84557_at	84557	LOC84557	MAP1LC3A	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
4140_at	4140	LOC4140	MARK3	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
4150_at	4150	LOC4150	MAZ	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
51102_at	51102	LOC51102	MECR	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
84689_at	84689	LOC84689	MS4A14	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
85366_at	85366	LOC85366	MYLK2	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
80218_at	80218	LOC80218	NAA50	Multiple	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
129807_at	129807	LOC129807	NEU4	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
4772_at	4772	LOC4772	NFATC1	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
1482_at	1482	LOC1482	NKX2-5	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
9423_at	9423	LOC9423	NTN1	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
4914_at	4914	LOC4914	NTRK1	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
64236_at	64236	LOC64236	PDLIM2	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
55011_at	55011	LOC55011	PIH1D1	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
5308_at	5308	LOC5308	PITX2	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
5331_at	5331	LOC5331	PLCB3	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
5339_at	5339	LOC5339	PLEC	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
5496_at	5496	LOC5496	PPM1G	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
28227_at	NA	NA	PPP2R3B || ? || ?	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
11186_at	11186	LOC11186	RASSF1	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
5935_at	5935	LOC5935	RBM3	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
29115_at	29115	LOC29115	SAP30BP	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
59343_at	59343	LOC59343	SENP2	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
9057_at	9057	LOC9057	SLC7A6	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
10650_at	10650	LOC10650	SLMO1	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
84973_at	84973	LOC84973	SNHG7	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
9655_at	9655	LOC9655	SOCS5	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
6670_at	6670	LOC6670	SP3	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
399473_at	399473	LOC399473	SPRED3	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
170463_at	170463	LOC170463	SSBP4	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
10469_at	10469	LOC10469	TIMM44	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
340205_at	340205	LOC340205	TREML1	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
11219_at	11219	LOC11219	TREX2	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
23508_at	23508	LOC23508	TTC9	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
7352_at	7352	LOC7352	UCP3	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
201294_at	201294	LOC201294	UNC13D	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
10785_at	10785	LOC10785	WDR4	Lymphoid	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
7468_at	7468	LOC7468	WHSC1	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
91746_at	91746	LOC91746	YTHDC1	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
404281_at	404281	LOC404281	YY2	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
283933_at	283933	LOC283933	ZNF843	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
23140_at	23140	LOC23140	ZZEF1	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
947_at	947	LOC947	CD34	NA	NA	NA	NA	NA	NA	McDermott_Angio	NA	NA	NA	NA	NA	NA	NA NA
11082_at	11082	LOC11082	ESM1	NA	NA	NA	NA	NA	NA	McDermott_Angio	NA	NA	NA	NA	NA	NA	NA NA
3791_at	3791	LOC3791	KDR	NA	NA	NA	NA	NA	NA	McDermott_Angio	NA	NA	NA	NA	NA	NA	NA NA
5175_at	5175	LOC5175	PECAM1	NA	NA	NA	NA	NA	NA	McDermott_Angio	NA	NA	NA	NA	NA	NA	NA NA
3576_at	3576	LOC3576	IL8	Myeloid	NA	NA	NA	NA	NA	McDermott_Myeloid	NA	cluster2	NA	Short_Nano	NA	NA	NA NA
2920_at	2920	LOC2920	CXCL2	NA	NA	NA	NA	NA	NA	McDermott_Myeloid	NA	NA	NA	Short_Nano_RNAseq	NA	NA	NA NA
2921_at	2921	LOC2921	CXCL3	Monocyte	NA	NA	NA	NA	NA	McDermott_Myeloid	NA	NA	NA	Short_Nano_RNAseq	NA	NA	NA NA
925_at	925	LOC925	CD8A	T Cell	NA	NA	NA	NA	NA	McDermott_Teff	Merck_Up	NA	NA	NA	NA	NA	NA NA
8320_at	8320	LOC8320	EOMES	Lymphoid	NA	NA	NA	NA	NA	McDermott_Teff	NA	NA	NA	NA	NA	Javelin26	NA NA
5551_at	5551	LOC5551	PRF1	Lymphoid	NA	NA	NA	NA	NA	McDermott_Teff	NA	NA	NA	NA	NA	Javelin26	NA NA
3458_at	3458	LOC3458	IFNG	Lymphoid	NA	NA	NA	NA	NA	McDermott_Teff	NA	NA	NA	NA	NA	NA	NA NA
80381_at	80381	LOC80381	CD276	NA	NA	NA	NA	NA	NA	NA	Merck_Down	NA	NA	NA	NA	NA	NA NA
4818_at	4818	LOC4818	NKG7	Lymphoid	NA	NA	NA	NA	NA	NA	Merck_Up	NA	CM009_up	NA	NA	NA	NA NA
939_at	939	LOC939	CD27	Lymphoid	NA	NA	NA	NA	NA	NA	Merck_Up	NA	NA	NA	NA	NA	NA NA
10663_at	10663	LOC10663	CXCR6	T Cell	NA	NA	NA	NA	NA	NA	Merck_Up	NA	NA	NA	NA	NA	NA NA
3133_at	3133	LOC3133	HLA-E	NA	NA	NA	NA	NA	NA	NA	Merck_Up	NA	NA	NA	NA	NA	NA NA
3902_at	3902	LOC3902	LAG3	T Cell	NA	NA	NA	NA	NA	NA	Merck_Up	NA	NA	NA	NA	NA	NA NA
80380_at	80380	LOC80380	PDCD1LG2	Dendritic Cell	NA	NA	NA	NA	NA	NA	Merck_Up	NA	NA	NA	NA	NA	NA NA
201633_at	201633	LOC201633	TIGIT	Lymphoid	NA	NA	NA	NA	NA	NA	Merck_Up	NA	NA	NA	NA	NA	NA NA
9474_at	9474	LOC9474	ATG5	NA	NA	NA	NA	NA	NA	NA	NA	cluster1	NA	NA	NA	NA	NA NA
64343_at	64343	LOC64343	AZI2	NA	NA	NA	NA	NA	NA	NA	NA	cluster1	NA	NA	NA	NA	NA NA
843_at	843	LOC843	CASP10	NA	NA	NA	NA	NA	NA	NA	NA	cluster1	NA	NA	NA	NA	NA NA
1147_at	1147	LOC1147	CHUK	NA	NA	NA	NA	NA	NA	NA	NA	cluster1	NA	NA	NA	NA	NA NA
1540_at	1540	LOC1540	CYLD	Multiple	NA	NA	NA	NA	NA	NA	NA	cluster1	NA	NA	NA	NA	NA NA
1654_at	1654	LOC1654	DDX3X	NA	NA	NA	NA	NA	NA	NA	NA	cluster1	NA	NA	NA	NA	NA NA
4214_at	4214	LOC4214	MAP3K1	NA	NA	NA	NA	NA	NA	NA	NA	cluster1	NA	NA	NA	NA	NA NA
6885_at	6885	LOC6885	MAP3K7	NA	NA	NA	NA	NA	NA	NA	NA	cluster1	NA	NA	NA	NA	NA NA
5602_at	5602	LOC5602	MAPK10	NA	NA	NA	NA	NA	NA	NA	NA	cluster1	NA	NA	NA	NA	NA NA
1432_at	1432	LOC1432	MAPK14	NA	NA	NA	NA	NA	NA	NA	NA	cluster1	NA	NA	NA	NA	NA NA
5599_at	5599	LOC5599	MAPK8	NA	NA	NA	NA	NA	NA	NA	NA	cluster1	NA	NA	NA	NA	NA NA
5601_at	5601	LOC5601	MAPK9	NA	NA	NA	NA	NA	NA	NA	NA	cluster1	NA	NA	NA	NA	NA NA
54941_at	54941	LOC54941	RNF125	Lymphoid	NA	NA	NA	NA	NA	NA	NA	cluster1	NA	NA	NA	NA	NA NA
80143_at	80143	LOC80143	SIKE1	NA	NA	NA	NA	NA	NA	NA	NA	cluster1	NA	NA	NA	NA	NA NA
10010_at	10010	LOC10010	TANK	Multiple	NA	NA	NA	NA	NA	NA	NA	cluster1	NA	NA	NA	NA	NA NA
29110_at	29110	LOC29110	TBK1	NA	NA	NA	NA	NA	NA	NA	NA	cluster1	NA	NA	NA	NA	NA NA
7187_at	7187	LOC7187	TRAF3	NA	NA	NA	NA	NA	NA	NA	NA	cluster1	NA	NA	NA	NA	NA NA
7189_at	7189	LOC7189	TRAF6	NA	NA	NA	NA	NA	NA	NA	NA	cluster1	NA	NA	NA	NA	NA NA
9140_at	9140	LOC9140	ATG12	NA	NA	NA	NA	NA	NA	NA	NA	cluster2	NA	NA	NA	NA	NA NA
26007_at	26007	LOC26007	DAK	NA	NA	NA	NA	NA	NA	NA	NA	cluster2	NA	NA	NA	NA	NA NA
8653_at	8653	LOC8653	DDX3Y	NA	NA	NA	NA	NA	NA	NA	NA	cluster2	NA	NA	NA	NA	NA NA
3456_at	3456	LOC3456	IFNB1	NA	NA	NA	NA	NA	NA	NA	NA	cluster2	NA	NA	NA	NA	NA NA
338376_at	338376	LOC338376	IFNE	NA	NA	NA	NA	NA	NA	NA	NA	cluster2	NA	NA	NA	NA	NA NA
9641_at	9641	LOC9641	IKBKE	NA	NA	NA	NA	NA	NA	NA	NA	cluster2	NA	NA	NA	NA	NA NA
3592_at	3592	LOC3592	IL12A	NA	NA	NA	NA	NA	NA	NA	NA	cluster2	NA	NA	NA	NA	NA NA
3593_at	3593	LOC3593	IL12B	Myeloid	NA	NA	NA	NA	NA	NA	NA	cluster2	NA	NA	NA	NA	NA NA
6300_at	6300	LOC6300	MAPK12	NA	NA	NA	NA	NA	NA	NA	NA	cluster2	NA	NA	NA	NA	NA NA
5603_at	5603	LOC5603	MAPK13	NA	NA	NA	NA	NA	NA	NA	NA	cluster2	NA	NA	NA	NA	NA NA
